Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
EIDX,"Eidos Therapeutics, Inc.",126.51,$4.92B,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/eidx,
EIGR,"Eiger BioPharmaceuticals, Inc.",11.02,$358.5M,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/eigr,
EKSO,"Ekso Bionics Holdings, Inc.",8.18,$68.03M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ekso,
LOCO,"El Pollo Loco Holdings, Inc.",19.6,$714.36M,2014.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/loco,
ESLT,Elbit Systems Ltd.,135.28,$5.98B,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/eslt,
SOLO,Electrameccanica Vehicles Corp. Ltd.,7.55,$484.12M,,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/solo,
ECOR,"electroCore, Inc.",1.77,$80.45M,2018.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ecor,
EA,Electronic Arts Inc.,139.0,$40.29B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ea,
ELSE,"Electro-Sensors, Inc.",4.5,$15.28M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/else,
ESBK,Elmira Savings Bank NY (The),11.95,$41.97M,,Finance,Major Banks,https://old.nasdaq.com/symbol/esbk,
ELOX,"Eloxx Pharmaceuticals, Inc.",4.13,$165.83M,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/elox,
ELTK,Eltek Ltd.,5.5985,$24.52M,1997.0,Technology,Electrical Products,https://old.nasdaq.com/symbol/eltk,
ELYS,"Elys Game Technology, Corp. ",5.9,$98.32M,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/elys,
EMCF,Emclaire Financial Corp,30.42,$82.4M,,Finance,Major Banks,https://old.nasdaq.com/symbol/emcf,
EMKR,EMCORE Corporation,4.96,$146.62M,1997.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/emkr,
ENTA,"Enanta Pharmaceuticals, Inc.",46.72,$938.09M,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enta,
ECPG,Encore Capital Group Inc,31.81,$997.07M,,Finance,Finance Companies,https://old.nasdaq.com/symbol/ecpg,
WIRE,Encore Wire Corporation,61.11,$1.26B,1992.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/wire,
ENDP,Endo International plc,7.12,$1.64B,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/endp,
NDRA,ENDRA Life Sciences Inc.,1.05,$34.61M,2017.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ndra,
EIGI,"Endurance International Group Holdings, Inc.",9.45,$1.34B,2013.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/eigi,
WATT,Energous Corporation,2.88,$128.29M,2014.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/watt,
EFOI,"Energy Focus, Inc.",4.81,$16.84M,,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/efoi,
ERII,"Energy Recovery, Inc.",14.51,$814.02M,2008.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/erii,
ENG,ENGlobal Corporation,6.89,$189.89M,,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/eng,
ENLV,Enlivex Therapeutics Ltd.,10.49,$141.23M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enlv,
ENOB,"Enochian Biosciences, Inc.",3.09,$144.11M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enob,
ENPH,"Enphase Energy, Inc.",190.59,$24.08B,2012.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/enph,
ESGR,Enstar Group Limited,215.36,$4.95B,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esgr,
ESGRO,Enstar Group Limited,27.15,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esgro,
ESGRP,Enstar Group Limited,28.52,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esgrp,
ETTX,Entasis Therapeutics Holdings Inc.,2.64,$93.66M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ettx,
ENTG,"Entegris, Inc.",107.57,$14.52B,2000.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/entg,
ENTX,Entera Bio Ltd.,1.29,$23.52M,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/entx,
EBTC,Enterprise Bancorp Inc,28.25,$336.93M,,Finance,Major Banks,https://old.nasdaq.com/symbol/ebtc,
